,Name,Surname,Department,Start Date
0,Aurelia,Giles,Legal Department,2018-01-01
1,Dane,Schwartz,Asset Management,2018-01-03
2,Jarrod,Carlson,Media Relations,2018-01-07
3,Tashya,Schroeder,Payroll,2018-01-08
4,Tiger,May,Public Relations,2018-01-08
5,Dean,Gilmore,Accounting,2018-01-10
6,Brody,Carter,Sales and Marketing,2018-01-13
7,Indigo,Chen,Quality Assurance,2018-01-15
8,Hiram,Browning,Public Relations,2018-01-21
9,Katelyn,May,Payroll,2018-01-23
10,Joy,Hicks,Asset Management,2018-01-25
11,Neil,Glass,Finances,2018-01-25
12,Alana,Potts,DevOps,2018-01-26
13,Echo,Foster,Human Resources,2018-01-26
14,Kasper,Alford,DevOps,2018-01-27
15,Kristen,Christensen,Quality Assurance,2018-01-29
16,Vaughan,Carter,Sales and Marketing,2018-01-30
17,Lewis,Ochoa,Sales and Marketing,2018-02-02
18,Lillith,Pace,Payroll,2018-02-02
19,Sydnee,Pickett,Customer Service,2018-02-05
20,Dalton,Dennis,Legal Department,2018-02-07
21,Edward,Nichols,Software Development,2018-02-08
22,Bradley,Workman,Advertising,2018-02-09
23,Rina,Mcfarland,Public Relations,2018-02-10
24,Ivory,Glenn,Customer Service,2018-02-11
25,Casey,Tate,Legal Department,2018-02-16
26,Jerome,Livingston,Advertising,2018-02-19
27,Irene,Dudley,Software Development,2018-02-25
28,Dylan,Jackson,DevOps,2018-02-26
29,Reuben,Stevens,Customer Service,2018-02-26
30,Clio,Petersen,Data Analysis,2018-02-28
31,Colt,Mcdaniel,Media Relations,2018-03-03
32,Lareina,Mercado,Human Resources,2018-03-07
33,Vivien,Stark,Accounting,2018-03-08
34,Hamilton,Manning,Media Relations,2018-03-09
35,Laura,Richmond,Customer Service,2018-03-13
36,Gretchen,Schroeder,Human Resources,2018-03-20
37,Alfonso,Jackson,Media Relations,2018-03-25
38,Brianna,Soto,Data Analysis,2018-03-25
39,Vance,Hardin,Asset Management,2018-03-26
40,Summer,Fowler,DevOps,2018-03-27
41,India,Brock,Data Analysis,2018-03-30
42,Carol,Mathis,Data Analysis,2018-03-30
43,Iris,George,Public Relations,2018-04-02
44,Maxwell,Crosby,Legal Department,2018-04-03
45,Dylan,Mcfadden,Media Relations,2018-04-05
46,Adam,Knowles,Finances,2018-04-12
47,Julie,Bates,Customer Service,2018-04-12
48,Zephr,Woodward,Research and Development,2018-04-13
49,Chadwick,Dillon,Legal Department,2018-04-15
50,Aubrey,Kim,Media Relations,2018-04-19
51,Halla,Henry,DevOps,2018-04-20
52,Virginia,Gordon,Software Development,2018-04-20
53,Burton,Sears,IT Support,2018-04-25
54,Iris,Ramirez,Legal Department,2018-04-27
55,Jonas,Moon,DevOps,2018-04-30
56,Erica,Compton,Customer Relations,2018-05-01
57,Vera,Mccullough,Human Resources,2018-05-02
58,Lee,Phelps,Advertising,2018-05-04
59,Desiree,Delacruz,Data Analysis,2018-05-05
60,Michelle,Nielsen,Quality Assurance,2018-05-09
61,Keane,Tanner,Sales and Marketing,2018-05-09
62,Stewart,Weeks,Advertising,2018-05-15
63,Barry,Fry,Legal Department,2018-05-15
64,Elton,Schmidt,Customer Service,2018-05-16
65,Hedy,Guzman,IT Support,2018-05-20
66,Tallulah,Dean,Advertising,2018-05-23
67,Jasper,Gibbs,Research and Development,2018-05-24
